dataset_id,source_institution,source_url,retrieved_on,definition,frequency,unit,coverage,notes,figure_number,pdf_page,crop_scope,interpretation_boundary
fintech_disruption,National Bureau of Economic Research / Journal of Financial Economics,https://www.nber.org/papers/w28668 | https://doi.org/10.1016/j.jfineco.2025.104071,2026-07-10,Occupation-level fintech patent exposure and worker and firm outcomes,panel associations,basis points per exposure percentile; percentage points,"United States; mainly 2010-2018 postings and employment; published JFE 2025 specifications","Published JFE estimates supersede working-paper magnitudes; postings are vacancy flows rather than layoffs or employment stocks; exposure predicts outcomes but is not observed adoption or a clean causal experiment; inventor gains are relative interactions and acquisition-only interactions are insignificant"
ai_data_governance,BIS Financial Stability Institute,https://www.bis.org/fsi/publ/insights73.htm,2026-07-10,Supervisory approaches to data risks in AI use by financial institutions,policy synthesis,qualitative,"Cross-jurisdictional, March 2026","Focuses on privacy, quality, security, third-party dependencies and provider concentration"
equity_main_boards_2005_2006,Shanghai Stock Exchange / Shenzhen Stock Exchange,https://www.sse.com.cn/aboutus/publication/yearly/documents/c/10061076/files/86bd323b7c32451e992de15252c6013d.pdf | https://docs.static.szse.cn/www/market/periodical/year/W020250610540371994634.pdf,2026-07-10,Year-end total market capitalization of the combined Shanghai and Shenzhen Main Boards,annual,RMB trillion,2005-2006,"Exact division by 10000 from RMB 100 million. SSE 2018 Yearbook printed page 402 table 'Stock Market Capital and GDP' reports all SSE stocks (STAR did not yet exist): 23096.13; 71612.38. SZSE 2008 Fact Book printed pages 68 and 99 defines market value as issued capital times closing price and separately reports historical Main Board and SME Board in RMB billion: 2005 885.26+48.16=933.42 (9334.20 RMB 100 million); 2006 1577.62+201.53=1779.15 (17791.50). The former SME Board is included because the official SZSE 2024 historical table later restates Main Board to include it; pre-2019 SSE is directly comparable and pre-2021 SZSE has a documented board-definition boundary; no interpolation"
equity_main_boards_2007_2016,Shanghai Stock Exchange / Shenzhen Stock Exchange,https://www.sse.com.cn/aboutus/publication/yearly/documents/c/10061076/files/86bd323b7c32451e992de15252c6013d.pdf | https://docs.static.szse.cn/www/market/periodical/year/W020230915392909334234.pdf,2026-07-10,Year-end total market capitalization of the combined Shanghai and Shenzhen Main Boards,annual,RMB trillion,2007-2016,"Exact division by 10000 from RMB 100 million. SSE 2018 Yearbook printed page 402 table 'Stock Market Capital and GDP' all-stock values: 269838.87; 97251.91; 184655.23; 179007.24; 148376.22; 158698.44; 151165.27; 243974.02; 295194.20; 284607.63. SZSE 2017 Fact Book printed pages 76 and 131 separately reports Main Board and SME Board year-end market value in RMB billion; their sums converted to RMB 100 million are: 57452.40; 24289.20; 57838.60; 79050.10; 58948.10; 62927.90; 72819.90; 106722.00; 180193.80; 170823.80. The former SME Board is included because the official SZSE 2024 historical table later restates Main Board to include it; ChiNext is excluded from 2009 onward; pre-2019 SSE is directly comparable and pre-2021 SZSE has a documented board-definition boundary; no interpolation"
equity_main_boards_2017_history,Shanghai Stock Exchange / Shenzhen Stock Exchange,https://www.sse.com.cn/aboutus/publication/yearly/documents/c/10061076/files/86bd323b7c32451e992de15252c6013d.pdf | https://docs.static.szse.cn/www/market/periodical/year/W020250912366937867370.pdf,2026-07-10,Year-end total market capitalization of the combined Shanghai and Shenzhen Main Boards,annual,RMB trillion,2017,"Exact division by 10000 from RMB 100 million. SSE 2018 Yearbook printed page 402 table 'Stock Market Capital and GDP': 331324.82. SZSE 2024 Fact Book printed page 6 'Yearly Market Overview' restated Main Board value: 18447244.30 RMB million = 184472.4430 RMB 100 million; this restated value includes the former SME Board and supersedes the lower-precision 2017 Main Board plus SME Board tables; pre-2019 SSE is directly comparable and pre-2021 SZSE has a documented board-definition boundary; no interpolation"
equity_main_boards_2018_history,Shanghai Stock Exchange / Shenzhen Stock Exchange,https://www.sse.com.cn/aboutus/publication/yearly/documents/c/10061075/files/32277cffb8354bb7857bf48731afc697.pdf | https://docs.static.szse.cn/www/market/periodical/year/W020250912366937867370.pdf,2026-07-10,Year-end total market capitalization of the combined Shanghai and Shenzhen Main Boards,annual,RMB trillion,2018,"Exact division by 10000 from RMB 100 million. SSE 2019 Yearbook printed page 5 'Market Overview': 269515.01. SZSE 2024 Fact Book printed page 6 'Yearly Market Overview' restated Main Board value: 12494942.98 RMB million = 124949.4298 RMB 100 million; the restated Shenzhen value includes the former SME Board and excludes ChiNext; pre-2019 SSE is directly comparable and pre-2021 SZSE has a documented board-definition boundary; no interpolation"
equity_main_boards_2019,Shanghai Stock Exchange / Shenzhen Stock Exchange,https://www.sse.com.cn/aboutus/publication/yearly/documents/c/10061073/files/3434d1799d1145dc826c16c34bd097bf.pdf | https://docs.static.szse.cn/www/market/periodical/year/W020250912366937867370.pdf,2026-07-10,Year-end total market capitalization of the combined Shanghai and Shenzhen Main Boards,annual,RMB trillion,2019,"Exact division by 10000 from RMB 100 million; aggregated Shanghai Main Board A+B (346882.06) and restated Shenzhen Main Board (176067.2465); the Shenzhen historical MB series includes the former SME Board"
equity_main_boards_2020,Shanghai Stock Exchange / Shenzhen Stock Exchange,https://www.sse.com.cn/aboutus/publication/yearly/documents/c/10061073/files/3434d1799d1145dc826c16c34bd097bf.pdf | https://docs.static.szse.cn/www/market/periodical/year/W020250912366937867370.pdf,2026-07-10,Year-end total market capitalization of the combined Shanghai and Shenzhen Main Boards,annual,RMB trillion,2020,"Exact division by 10000 from RMB 100 million; aggregated Shanghai Main Board A+B (421830.88) and restated Shenzhen Main Board (232578.0378); the Shenzhen historical MB series includes the former SME Board"
equity_main_boards_2021,Shanghai Stock Exchange / Shenzhen Stock Exchange,https://www.sse.com.cn/aboutus/publication/yearly/documents/c/10061072/files/dfca40e586304401b1f7a55c22684bc5.pdf | https://docs.static.szse.cn/www/market/periodical/year/W020250912366937867370.pdf,2026-07-10,Year-end total market capitalization of the combined Shanghai and Shenzhen Main Boards,annual,RMB trillion,2021,"Exact division by 10000 from RMB 100 million; aggregated Shanghai Main Board A+B (463392.78) and restated Shenzhen Main Board (256149.54); combined value preserves source precision as 719542.3200 RMB 100 million"
equity_main_boards_2022,Shanghai Stock Exchange / Shenzhen Stock Exchange,https://www.sse.com.cn/aboutus/publication/yearly/documents/c/10791349/files/85c1e61617f44332ac2f04dbbe5cd530.pdf | https://docs.static.szse.cn/www/market/periodical/year/W020250912366937867370.pdf,2026-07-10,Year-end total market capitalization of the combined Shanghai and Shenzhen Main Boards,annual,RMB trillion,2022,"Exact division by 10000 from RMB 100 million; aggregated Shanghai Main Board A+B (405635.80) and restated Shenzhen Main Board (211497.7891)"
equity_main_boards_2023,Shanghai Stock Exchange / Shenzhen Stock Exchange,https://www.sse.com.cn/aboutus/publication/yearly/documents/c/10764669/files/d712ddc42b2a460483be185fbbb52ea2.pdf | https://docs.static.szse.cn/www/market/periodical/year/W020250912366937867370.pdf,2026-07-10,Year-end total market capitalization of the combined Shanghai and Shenzhen Main Boards,annual,RMB trillion,2023,"Exact division by 10000 from RMB 100 million; aggregated Shanghai Main Board A+B (401509.81) and restated Shenzhen Main Board (196269.5636)"
equity_main_boards_2024,Shanghai Stock Exchange / Shenzhen Stock Exchange,https://www.sse.com.cn/aboutus/publication/yearly/documents/c/10801255/files/02acb566841a48f0b2ca8941c73f4541.pdf | https://docs.static.szse.cn/www/market/periodical/year/W020250912366937867370.pdf,2026-07-10,Year-end total market capitalization of the combined Shanghai and Shenzhen Main Boards,annual,RMB trillion,2024,"Exact division by 10000 from RMB 100 million; aggregated Shanghai Main Board A+B (460879.99) and restated Shenzhen Main Board (205870.8087)"
equity_main_boards_2025,Shanghai Stock Exchange / Shenzhen Stock Exchange,https://www.sse.com.cn/home/webupdate/c/10803840/files/2a09ff727dd1499b80158433a4850e0b.pdf | https://investor.szse.cn/market/subject/P020251231674893217325.pdf,2026-07-10,Year-end total market capitalization of the combined Shanghai and Shenzhen Main Boards,annual,RMB trillion,2025,"Exact division by 10000 from RMB 100 million; aggregated Shanghai Main Board (544575; published to whole RMB 100 million) and Shenzhen Main Board (255129.53)"
equity_star_2019,Shanghai Stock Exchange,https://www.sse.com.cn/aboutus/publication/yearly/documents/c/10061073/files/3434d1799d1145dc826c16c34bd097bf.pdf,2026-07-10,STAR Market year-end total market capitalization,annual,RMB trillion,2019,"Exact division by 10000 from 8637.64 RMB 100 million; launch-year year-end stock after trading began in July; pre-launch years are not applicable"
equity_star_2020,Shanghai Stock Exchange,https://www.sse.com.cn/aboutus/publication/yearly/documents/c/10061073/files/3434d1799d1145dc826c16c34bd097bf.pdf,2026-07-10,STAR Market year-end total market capitalization,annual,RMB trillion,2020,"Exact division by 10000 from 33490.72 RMB 100 million"
equity_star_2021,Shanghai Stock Exchange,https://www.sse.com.cn/aboutus/publication/yearly/documents/c/10061072/files/dfca40e586304401b1f7a55c22684bc5.pdf,2026-07-10,STAR Market year-end total market capitalization,annual,RMB trillion,2021,"Exact division by 10000 from 56305.56 RMB 100 million"
equity_star_2022,Shanghai Stock Exchange,https://www.sse.com.cn/aboutus/publication/yearly/documents/c/10791349/files/85c1e61617f44332ac2f04dbbe5cd530.pdf,2026-07-10,STAR Market year-end total market capitalization,annual,RMB trillion,2022,"Exact division by 10000 from 58150.96 RMB 100 million"
equity_star_2023,Shanghai Stock Exchange,https://www.sse.com.cn/aboutus/publication/yearly/documents/c/10764669/files/d712ddc42b2a460483be185fbbb52ea2.pdf,2026-07-10,STAR Market year-end total market capitalization,annual,RMB trillion,2023,"Exact division by 10000 from 61617.42 RMB 100 million"
equity_star_2024,Shanghai Stock Exchange,https://www.sse.com.cn/aboutus/publication/yearly/documents/c/10801255/files/02acb566841a48f0b2ca8941c73f4541.pdf,2026-07-10,STAR Market year-end total market capitalization,annual,RMB trillion,2024,"Exact division by 10000 from 63429.00 RMB 100 million; trailing source precision is retained"
equity_star_2025,Shanghai Stock Exchange,https://www.sse.com.cn/home/webupdate/c/10803840/files/2a09ff727dd1499b80158433a4850e0b.pdf,2026-07-10,STAR Market year-end total market capitalization,annual,RMB trillion,2025,"Exact division by 10000 from 103196 RMB 100 million; source is published to whole RMB 100 million and no trailing precision is manufactured"
equity_chinext_2010_2017,Shenzhen Stock Exchange,https://docs.static.szse.cn/www/market/periodical/year/W020230915392909334234.pdf,2026-07-10,ChiNext year-end total market capitalization,annual,RMB trillion,2010-2017,"Exact division by 10000 from the audited RMB 100 million values; official table publishes RMB million to two decimals and that precision is retained; requested coverage begins in 2010; no interpolation"
equity_chinext_2018_2024,Shenzhen Stock Exchange,https://docs.static.szse.cn/www/market/periodical/year/W020250912366937867370.pdf,2026-07-10,ChiNext year-end total market capitalization,annual,RMB trillion,2018-2024,"Exact division by 10000 from the audited RMB 100 million values; official table publishes RMB million to two decimals and that precision is retained; no interpolation"
equity_chinext_2025,Shenzhen Stock Exchange,https://investor.szse.cn/market/subject/P020251231674893217325.pdf,2026-07-10,ChiNext year-end total market capitalization,annual,RMB trillion,2025,"Exact division by 10000 from 177278.83 RMB 100 million"
equity_bse_2021,Beijing Stock Exchange,https://www.bse.cn/annual/200011660.html,2026-07-10,Beijing Stock Exchange year-end total market capitalization,annual,RMB trillion,2021,"Direct year-specific official BSE result; exact division by 10000 from 2722.75 RMB 100 million; opening-year year-end stock after trading began on 15 November; pre-opening years are not applicable; no interpolation"
equity_bse_2022_2023,Beijing Stock Exchange archive / Sina Finance corroboration,https://www.bse.cn/static/annual.html | https://finance.sina.cn/2024-01-02/detail-inaacqst8895826.d.html,2026-07-10,Beijing Stock Exchange year-end total market capitalization,annual,RMB trillion,2022-2023,"Exact division by 10000 from 2110.29 and 4496.41 RMB 100 million respectively; official BSE dynamic annual-statistics archive plus a year-specific observation-bearing corroborating report; no stable year-specific official result page was recovered, so this is not direct official-source coverage; no interpolation"
equity_bse_2025,Beijing Stock Exchange archive / People's Daily and Beijing Daily corroboration,https://www.bse.cn/static/annual.html | https://bj.people.com.cn/BIG5/n2/2026/0104/c14540-41462599.html,2026-07-10,Beijing Stock Exchange year-end total market capitalization,annual,RMB trillion,2025,"Exact division by 10000 from 8694 RMB 100 million; source precision is whole RMB 100 million; official BSE dynamic annual-statistics archive plus a year-specific observation-bearing report explicitly attributing the value to BSE; no stable year-specific official result page was recovered, so this is not direct official-source coverage; no interpolation"
equity_bse_2024,China Securities Regulatory Commission,https://www.csrc.gov.cn/csrc/c100024/c7624098/7624098/files/%E4%B8%AD%E5%9B%BD%E8%AF%81%E5%88%B8%E7%9B%91%E7%9D%A3%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%B9%B4%E6%8A%A5%EF%BC%882024%E5%B9%B4%EF%BC%89.pdf,2026-07-10,Beijing Stock Exchange year-end total market capitalization,annual,RMB trillion,2024,"Exact division by 10000 from 5386.01 RMB 100 million; CSRC Annual Report 2024 page 44"
man_machine_original_figure,National Bureau of Economic Research,https://www.nber.org/system/files/working_papers/w28800/w28800.pdf,2026-07-11,Annual share of AI-assisted analyst recommendations more accurate than AI-only recommendations,out-of-sample forecast comparison,beat ratio percent,"United States; I/B/E/S target-price forecasts; 2001-2016","Original working-paper visual; the hybrid combines the authors' AI forecast with recent analyst consensus information.",Figure 3,35,"Unredrawn crop from PDF page 35 at 300 dpi: x=175 y=350 width=2200 height=1800 pixels; retains figure title, explanatory note, axes, 95% confidence interval, 50% reference, trend line, and legend.","Supports complementarity in this forecast task and sample only; it does not establish that hybrid systems dominate in every financial task or with current AI systems."
fintech_disruption_original_figure,National Bureau of Economic Research,https://www.nber.org/system/files/working_papers/w28668/w28668.pdf,2026-07-11,Relation between occupation-level fintech exposure percentile and cumulative change in job-posting share from 2007 to 2018,descriptive exposure-outcome relation,point change in posting share,"United States; Burning Glass Technologies job postings; 2007-2018","Original working-paper visual; exposure is constructed from fintech patents and O*NET task text.",Figure 6,43,"Unredrawn crop from PDF page 43 at 300 dpi: x=370 y=290 width=1840 height=1250 pixels; output is 1840x1250; retains figure title, axes, 95% confidence interval, legend, and full figure note.","Supports an exposure-related reallocation of vacancy shares; postings are flows rather than employment stocks or layoffs, and the curve is not a clean causal estimate of adoption."
man_machine_slide_figure,National Bureau of Economic Research,https://www.nber.org/system/files/working_papers/w28800/w28800.pdf,2026-07-11,Annual share of AI-assisted analyst recommendations more accurate than AI-only recommendations,out-of-sample forecast comparison,beat ratio percent,"United States; I/B/E/S target-price forecasts; 2001-2016","Classroom display derivative; the full approved audit crop remains available as the parent asset.",Figure 3,35,"Single continuous classroom crop from parent asset l2_man_machine_figure.png: x=0 y=405 width=2200 height=1315 pixels; no scaling or redrawing; retains the plot, axes, ticks, 95% confidence interval, 50% reference, trend line, and legend; paper title and explanatory note remain documented by the full parent asset and QMD source.","Supports complementarity in this forecast task and sample only; it does not establish that hybrid systems dominate in every financial task or with current AI systems."
fintech_disruption_slide_figure,National Bureau of Economic Research,https://www.nber.org/system/files/working_papers/w28668/w28668.pdf,2026-07-11,Relation between occupation-level fintech exposure percentile and cumulative change in job-posting share from 2007 to 2018,descriptive exposure-outcome relation,point change in posting share,"United States; Burning Glass Technologies job postings; 2007-2018","Classroom display derivative; the full approved audit crop remains available as the parent asset.",Figure 6,43,"Single continuous classroom crop from parent asset l2_fintech_disruption_figure.png: x=0 y=130 width=1840 height=760 pixels; no scaling or redrawing; retains the plot, axes, ticks, 95% confidence interval, and legend; paper title and explanatory note remain documented by the full parent asset and QMD source.","Supports an exposure-related reallocation of vacancy shares; postings are flows rather than employment stocks or layoffs, and the curve is not a clean causal estimate of adoption."
